model-1591707724,1591708109.846,0.77,0.0288,0.77,0.0284,4
model-1591707724,1591708117.369,0.78,0.0281,0.77,0.0285,4
model-1591707724,1591708122.876,0.78,0.0277,0.77,0.0288,4
model-1591707724,1591708128.845,0.76,0.0315,0.77,0.0282,4
model-1591707724,1591708135.143,0.77,0.0293,0.77,0.0283,4
model-1591707724,1591708140.852,0.76,0.0321,0.78,0.0278,4
model-1591707724,1591708146.249,0.78,0.0289,0.78,0.0277,4
model-1591707724,1591708151.619,0.78,0.0281,0.77,0.0279,4
model-1591707724,1591708157.056,0.78,0.0277,0.78,0.0271,4
model-1591707724,1591708163.202,0.78,0.0278,0.78,0.0271,4
model-1591707724,1591708170.194,0.78,0.0271,0.78,0.0268,4
model-1591707724,1591708176.213,0.78,0.0263,0.78,0.0274,4
model-1591707724,1591708182.1,0.78,0.0278,0.78,0.0265,4
model-1591707724,1591708188.583,0.78,0.0273,0.77,0.0268,4
model-1591707724,1591708194.263,0.77,0.028,0.78,0.0265,4
model-1591707724,1591708200.577,0.78,0.027,0.78,0.0263,4
model-1591707724,1591708203.424,0.78,0.0288,0.78,0.0261,4
model-1591707724,1591708209.22,0.79,0.0251,0.78,0.0261,5
model-1591707724,1591708214.485,0.79,0.026,0.79,0.0257,5
model-1591707724,1591708220.364,0.79,0.0254,0.79,0.0256,5
model-1591707724,1591708225.828,0.78,0.0289,0.78,0.0257,5
model-1591707724,1591708231.369,0.78,0.0269,0.78,0.0256,5
model-1591707724,1591708237.226,0.77,0.0297,0.79,0.0253,5
model-1591707724,1591708242.573,0.78,0.0262,0.79,0.025,5
model-1591707724,1591708247.765,0.79,0.0254,0.79,0.0249,5
model-1591707724,1591708252.876,0.79,0.0248,0.79,0.0249,5
model-1591707724,1591708258.035,0.79,0.0254,0.79,0.0248,5
model-1591707724,1591708263.331,0.8,0.0244,0.8,0.0246,5
model-1591707724,1591708268.541,0.8,0.0243,0.8,0.0245,5
model-1591707724,1591708273.455,0.8,0.0248,0.8,0.0243,5
model-1591707724,1591708278.466,0.8,0.0252,0.8,0.0242,5
model-1591707724,1591708283.478,0.79,0.0252,0.8,0.0241,5
model-1591707724,1591708288.427,0.8,0.0245,0.8,0.0241,5
model-1591707724,1591708290.353,0.8,0.0266,0.8,0.0242,5
model-1591707724,1591708296.062,0.8,0.0237,0.8,0.024,6
model-1591707724,1591708301.888,0.81,0.0238,0.81,0.0239,6
model-1591707724,1591708307.247,0.81,0.0235,0.81,0.0238,6
model-1591707724,1591708312.793,0.8,0.0271,0.8,0.024,6
model-1591707724,1591708318.702,0.8,0.0252,0.8,0.0239,6
model-1591707724,1591708324.049,0.78,0.0279,0.8,0.0237,6
model-1591707724,1591708330.167,0.79,0.0246,0.8,0.0234,6
model-1591707724,1591708335.325,0.8,0.0237,0.8,0.0236,6
model-1591707724,1591708340.437,0.8,0.0233,0.8,0.0231,6
model-1591707724,1591708345.553,0.8,0.0236,0.81,0.0231,6
model-1591707724,1591708350.673,0.81,0.0229,0.81,0.0229,6
model-1591707724,1591708356.628,0.81,0.0225,0.81,0.0231,6
model-1591707724,1591708363.328,0.81,0.0233,0.8,0.0228,6
model-1591707724,1591708369.61,0.8,0.0238,0.8,0.0228,6
model-1591707724,1591708375.567,0.8,0.0239,0.81,0.0226,6
model-1591707724,1591708382.797,0.81,0.0229,0.81,0.0227,6
model-1591707724,1591708385.018,0.8,0.0249,0.81,0.0224,6
model-1591707724,1591708391.296,0.81,0.0217,0.81,0.0223,7
model-1591707724,1591708396.554,0.81,0.0222,0.82,0.0222,7
model-1591707724,1591708402.475,0.82,0.0218,0.81,0.0222,7
model-1591707724,1591708407.38,0.81,0.0253,0.81,0.0222,7
model-1591707724,1591708412.944,0.81,0.0234,0.81,0.0221,7
model-1591707724,1591708417.883,0.8,0.0263,0.81,0.0221,7
model-1591707724,1591708422.789,0.81,0.023,0.81,0.0218,7
model-1591707724,1591708428.162,0.81,0.0219,0.81,0.0223,7
model-1591707724,1591708434.1,0.81,0.0219,0.82,0.0215,7
model-1591707724,1591708439.784,0.81,0.022,0.82,0.0216,7
model-1591707724,1591708446.186,0.82,0.0213,0.82,0.0214,7
model-1591707724,1591708452.322,0.82,0.021,0.81,0.0218,7
model-1591707724,1591708458.061,0.81,0.0218,0.81,0.0213,7
model-1591707724,1591708463.154,0.81,0.0222,0.82,0.0215,7
model-1591707724,1591708469.845,0.81,0.0226,0.82,0.0211,7
model-1591707724,1591708477.75,0.82,0.0214,0.81,0.0214,7
model-1591707724,1591708480.102,0.81,0.0233,0.82,0.0209,7
model-1591707724,1591708488.628,0.82,0.0202,0.83,0.0209,8
model-1591707724,1591708495.006,0.83,0.0207,0.83,0.0209,8
model-1591707724,1591708502.265,0.83,0.0206,0.82,0.0209,8
model-1591707724,1591708509.773,0.81,0.024,0.81,0.021,8
model-1591707724,1591708517.613,0.81,0.0222,0.82,0.0208,8
model-1591707724,1591708525.356,0.81,0.0251,0.82,0.021,8
model-1591707724,1591708532.985,0.82,0.022,0.82,0.0204,8
model-1591707724,1591708540.347,0.82,0.0205,0.82,0.0212,8
model-1591707724,1591708548.938,0.82,0.0207,0.83,0.0203,8
model-1591707724,1591708558.14,0.83,0.0206,0.83,0.0202,8
model-1591707724,1591708566.902,0.83,0.0198,0.83,0.0202,8
model-1591707724,1591708575.347,0.83,0.0201,0.83,0.0203,8
model-1591707724,1591708583.16,0.83,0.0202,0.82,0.0203,8
model-1591707724,1591708590.973,0.82,0.0211,0.83,0.0199,8
model-1591707724,1591708598.672,0.83,0.021,0.84,0.0199,8
model-1591707724,1591708607.018,0.84,0.0201,0.83,0.0198,8
model-1591707724,1591708609.516,0.83,0.0212,0.83,0.0198,8
model-1591707724,1591708616.441,0.83,0.0188,0.84,0.02,9
model-1591707724,1591708623.477,0.84,0.0198,0.84,0.0196,9
model-1591707724,1591708630.616,0.84,0.0192,0.83,0.0196,9
model-1591707724,1591708637.578,0.82,0.0227,0.83,0.0196,9
model-1591707724,1591708643.845,0.83,0.0209,0.83,0.0195,9
model-1591707724,1591708650.472,0.82,0.024,0.83,0.0197,9
model-1591707724,1591708656.563,0.83,0.0203,0.83,0.0193,9
model-1591707724,1591708662.956,0.83,0.0192,0.83,0.0198,9
model-1591707724,1591708668.84,0.84,0.0194,0.83,0.0192,9
model-1591707724,1591708673.966,0.83,0.0196,0.84,0.0192,9
model-1591707724,1591708678.794,0.84,0.0186,0.84,0.0193,9
model-1591707724,1591708684.418,0.84,0.019,0.84,0.0194,9
model-1591707724,1591708690.522,0.84,0.0193,0.83,0.0194,9
model-1591707724,1591708696.833,0.83,0.02,0.83,0.0191,9
model-1591707724,1591708703.269,0.83,0.02,0.84,0.0189,9
model-1591707724,1591708708.614,0.84,0.0191,0.84,0.0189,9
model-1591707724,1591708710.966,0.84,0.02,0.83,0.019,9
